Type,Location,Column,District,Details,Contact,Date
Houses For Sale,Raffles Pl/ Marina/ Chinatown,402,D01,"BALI/ MALDIVES LUXURIOUS Resort Bunglw (Ocean Drive) 10000/ 8800sf. Asking $33M Call: Owner 9324 8888/ 8383 9999/ 9728 0766 LUXURIOUS Resort Drive) 10000/ $33M Call: 8888/ 8383      93248888,83839999,97280766      ",83839999 97280766 93248888,16-06-2019
Houses For Sale,Sentosa/ Telok Blangah,402,D04,LIONEL LOO 88218111 *3-6pm 1) Only $7.95M 4bdrm + Pool + Berth. Beautiful. Move in. 2) $13.xM neg 5bdrm 8000sf 3) $14.xM 5bdrm 8500sf Nice *3-6pm 1) Pool + in. 2) 8000sf 3)      88218111      ,88218111,16-06-2019
